# NewsOffline.txt
# 2023/10/6 20:30

离线更新日志 for Ver.3.6.8

ID	作者	日期	消息
2660ea7bff9b0069abb324bbad2944bbc8494ac2	To ling <sjzbjs@outlook.com>	2023/9/2 15:05:00 +00:00	准备使用新的房间服务器通信协议和方式，加入卡片弹出动画；修复房间逻辑；优化Timer逻辑；运行代码清理；修复弹出多个房间窗口的bug；更改新的房间代码逻辑；添加手动重连Sql服务器按钮；修改LogPage文字排版；在3.5版本后将会继续开源；版本号更新至3.4；下一个版本为3.5
8a77883cb6a6c58b3d4f22b99c3863239d542d5c	To ling <sjzbjs@outlook.com>	2023/9/2 15:05:00 +00:00	准备使用新的房间服务器通信协议和方式，加入卡片弹出动画；修复房间逻辑；优化Timer逻辑；运行代码清理；修复弹出多个房间窗口的bug；更改新的房间代码逻辑；添加手动重连Sql服务器按钮；修改LogPage文字排版；在3.5版本后将会继续开源；版本号更新至3.4；下一个版本为3.5
851fcdae425d7698a28c58d07d6c03197437bc77	To ling <sjzbjs@outlook.com>	2023/8/31 8:55:41 +00:00	更新解决方案文件夹结构
831808b49b1a24769596bfa4624c9dae7ca8eb5a	To ling <sjzbjs@outlook.com>	2023/8/31 8:28:41 +00:00	多线程，异步，逻辑加强，解决错误
a71508aee7d86438f7521d9b5f0a24b7e796ccad	To ling <sjzbjs@outlook.com>	2023/8/31 7:47:00 +00:00	优化项目代码；删除Page3；优化启动和日志分析
0290d7f83f33dcdcc280d157aa163d80c7bf932e	To ling <sjzbjs@outlook.com>	2023/8/31 6:41:50 +00:00	优化Tap检测和处理逻辑
70179da55f0c8bad4e3eb82e104df52d83389273	To ling <sjzbjs@outlook.com>	2023/8/31 6:17:10 +00:00	优化房间号算法；优化窗口关闭逻辑
114610ff1bf21f1dec6c32827c8e7d5d78aecc1f	To ling <sjzbjs@outlook.com>	2023/8/30 21:03:20 +00:00	房间卡样式更新；新增房间卡片对话框；联机大厅加入排序及过滤;加入房间名特殊字符支持；更改离线更新日志显示方式；加入隐私房间（不展示在大厅）；更改Rooms的MySql连接方式和添加守护逻辑自动重连；使用新的数据库和新的数据库格式；删除房间名尽量用英文；完全重写逻辑；删除房间公开密码提示
5ae6cf39f9a38b3245cdf19d51a8d355c8a07aff	To ling <sjzbjs@outlook.com>	2023/8/29 19:39:47 +00:00	界面细节改动；阴影性能优化
8da73eb86b5ce0fb6233d43376a035346777f40e	To ling <sjzbjs@outlook.com>	2023/8/29 17:08:23 +00:00	恢复了关闭动画
a07151b0949c59f4c4a8ed04ee01daefa7d6429b	To ling <sjzbjs@outlook.com>	2023/8/29 16:43:22 +00:00	懵了个大b——这次没改动，但是证明我找过名字这玩意是什么鬼
4a5720a87718be5a145ac651fdbd20b9402d592d	To ling <sjzbjs@outlook.com>	2023/8/29 16:23:32 +00:00	更新Run方法及其引用调用static void Run(string command)-> static void Run(string command, bool noWindow = false)
4676b8a6879d71f89dc97cf3f896a55a94ecc513	To ling <sjzbjs@outlook.com>	2023/8/29 16:16:57 +00:00	卡片细节变更
4d70f5efe3eeb8dc2ff37b368166b86032f0e01e	To ling <sjzbjs@outlook.com>	2023/8/29 16:10:10 +00:00	卡片样式修改；修复房间操作逻辑
bc0cbec83b6e591b70a2ebc786f31438418c7624	To ling <sjzbjs@outlook.com>	2023/8/29 14:48:25 +00:00	左侧按钮实现改为Border
198b4f8cfe331626dd6c216f2951596ef459710e	To ling <sjzbjs@outlook.com>	2023/8/29 13:09:53 +00:00	整理Resources文件夹；加入离线更新日志
299246e314d628ef8b3c1e63c10e546d5a669ecf	To ling <sjzbjs@outlook.com>	2023/8/29 12:51:52 +00:00	更改edge判断逻辑，修复房间加入无响应
113e26f518f851f0f8f5c44b741939e780a562e5	To ling <sjzbjs@outlook.com>	2023/8/29 12:11:29 +00:00	暂时移除启动器路径提示
873bce40883105394782c40592e5c2237dbce397	To ling <sjzbjs@outlook.com>	2023/8/29 12:01:18 +00:00	添加背景；添加按钮动画
db9cabcb0fa0aa01530a62fc85fcb32e57df1d60	To ling <sjzbjs@outlook.com>	2023/8/29 7:26:38 +00:00	整理命名空间
7d2476ca15aedf407ffa4fab28116d59deeb03b0	To ling <sjzbjs@outlook.com>	2023/8/29 6:35:25 +00:00	运行代码清理
3a3085c8cd112d58db699566f2436f583dc95245	To ling <sjzbjs@outlook.com>	2023/8/29 6:30:13 +00:00	警告消除；删除快速联机链接
66cd629ba4fcc957e4d2a01fd99c9a1938f2b02f	To ling <sjzbjs@outlook.com>	2023/8/28 20:20:56 +00:00	重写MainView room界面设计代码；加入启动动画；更多过渡细节动画；界面优化；界面性能优化；解决大量编译警告；启动性能优化
70408ad7bab04aae685f93fa5e398cbe52fc416c	To ling <sjzbjs@outlook.com>	2023/8/28 9:03:04 +00:00	优化界面
b7698bffbab6d6205fdf94e598963c54b649edad	To ling <sjzbjs@outlook.com>	2023/8/28 7:47:14 +00:00	修复 设置-禁用动画效果开关 的配置保存
78a29901ad2adb2caf3df7f2c432922f89325122	To ling <sjzbjs@outlook.com>	2023/8/28 7:28:04 +00:00	优化命名空间，类等命名
62d8ad91a691996ed032d238be862c63311e56e2	To ling <sjzbjs@outlook.com>	2023/8/28 6:30:18 +00:00	恢复防火墙规则设置功能，加入提示：建议用户关闭防火墙
20026a3986bddd2d250d2e828950505de6bd471f	To ling <sjzbjs@outlook.com>	2023/8/28 4:16:57 +00:00	添加项目文件。
2fed91a34fc97094f87ab6788d11fdf7563bb6f5	To ling <sjzbjs@outlook.com>	2023/8/28 4:16:51 +00:00	添加 .gitattributes、.gitignore、README.md 和 LICENSE.txt
